,image_link,product_name,link,price,description,domain
459,https://www2.assets-gap.com/webcontent/0016/982/904/cn16982904.jpg,Luxespun Long Lightweight Cardigan,https://bananarepublic.gap.com//browse/product.do?pid=425986032&cid=51420&pcid=5032,69.5,"Made with our cozy-knit, Luxespun fabric that's sweater-soft and wrinkle resistant.",Banana Republic
460,https://www4.assets-gap.com/webcontent/0016/502/497/cn16502497.jpg,Luxespun Long Lightweight Cardigan,https://bananarepublic.gap.com//browse/product.do?pid=425986002&cid=51420&pcid=5032,69.5,"Made with our cozy-knit, Luxespun fabric that's sweater-soft and wrinkle resistant.",Banana Republic
461,https://www2.assets-gap.com/webcontent/0015/610/183/cn15610183.jpg,Washable Merino Boyfriend Cardigan Sweater,https://bananarepublic.gap.com//browse/product.do?pid=358496022&cid=51420&pcid=5032,78.0,"Classic cardigan styling, in a borrowed-from-the-boys fit that's long enough to work with both pants and leggings.",Banana Republic
462,https://www2.assets-gap.com/webcontent/0016/434/001/cn16434001.jpg,Washable Merino Boyfriend Cardigan Sweater,https://bananarepublic.gap.com//browse/product.do?pid=358496042&cid=51420&pcid=5032,78.0,"Classic cardigan styling, in a borrowed-from-the-boys fit that's long enough to work with both pants and leggings.",Banana Republic
463,https://www3.assets-gap.com/webcontent/0016/491/402/cn16491402.jpg,Stretch-Cotton Cardigan Sweater,https://bananarepublic.gap.com//browse/product.do?pid=425166002&cid=51420&pcid=5032,79.5,"Made with specially engineered, super-elastic fibers, this soft, luxurious cotton blend sweater has remarkable stretch to keep comfortable and retain its shape.",Banana Republic
464,https://www1.assets-gap.com/webcontent/0016/491/382/cn16491382.jpg,Stretch-Cotton Cardigan Sweater,https://bananarepublic.gap.com//browse/product.do?pid=425166012&cid=51420&pcid=5032,79.5,"Made with specially engineered, super-elastic fibers, this soft, luxurious cotton blend sweater has remarkable stretch to keep comfortable and retain its shape.",Banana Republic
465,https://www4.assets-gap.com/webcontent/0016/385/948/cn16385948.jpg,Washable Merino Long Cardigan,https://bananarepublic.gap.com//browse/product.do?pid=425324012&cid=51420&pcid=5032,119.0,"A refined and exceptionally soft yarn, our Merino wool is rich in color and spun in the perfect weight for year round wear. Plus, it's also machine washable for easy-care convenience.",Banana Republic
466,https://www1.assets-gap.com/webcontent/0016/327/138/cn16327138.jpg,Washable Merino Boyfriend Cardigan Sweater,https://bananarepublic.gap.com//browse/product.do?pid=425182022&cid=51420&pcid=5032,89.5,"A refined and exceptionally soft yarn, our Merino wool is rich in color and spun in the perfect weight for year round wear. Plus, it's also machine washable for easy-care convenience.",Banana Republic
467,https://www3.assets-gap.com/webcontent/0016/507/828/cn16507828.jpg,Washable Merino Boyfriend Cardigan Sweater,https://bananarepublic.gap.com//browse/product.do?pid=425182002&cid=51420&pcid=5032,89.5,"A refined and exceptionally soft yarn, our Merino wool is rich in color and spun in the perfect weight for year round wear. Plus, it's also machine washable for easy-care convenience.",Banana Republic
468,https://www2.assets-gap.com/webcontent/0016/707/899/cn16707899.jpg,Washable Merino Boyfriend Cardigan Sweater,https://bananarepublic.gap.com//browse/product.do?pid=358496102&cid=51420&pcid=5032,78.0,"Classic cardigan styling, in a borrowed-from-the-boys fit that's long enough to work with both pants and leggings.",Banana Republic
