link,product_name,price,image_link,brand
http://us.topshop.com/en/tsus/product/clothing-70483/celina-chunky-trainer-8527632,CELINA Leopard Chunky Trainers,$70.00,https://images.topshop.com/i/TopShop/TS42C09QTRL_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/halter-midi-dress-8560570,Halter Neck Midi Dress,$45.00,https://images.topshop.com/i/TopShop/TS10J56QSTN_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/black-lace-bandeau-8582821,Black Lace Bandeau,$18.00,https://images.topshop.com/i/TopShop/TS09E02QBLK_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/lace-trim-cami-8522100,Pink Lace Trim Cami,$20.00,https://images.topshop.com/i/TopShop/TS09T02QPNK_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/white-cuffed-utility-trousers-8580487,White Cuffed Utility Trousers,$75.00,https://images.topshop.com/i/TopShop/TS16K07QWHT_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/cuffed-camo-utility-trouser-8567725,Cuffed Camo Utility Trousers,$80.00,https://images.topshop.com/i/TopShop/TS16K11QLME_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/tall-dark-mid-blue-dree-jeans-8579170,TALL Dark Mid Blue Dree Jeans,$75.00,https://images.topshop.com/i/TopShop/TS30A32NDST_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/indigo-tie-dye-mom-jeans-8548462,Indigo Tie Dye Mom Jeans,$80.00,https://images.topshop.com/i/TopShop/TS02M08QIND_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/slinky-halter-mini-8530596,Slinky Halter Neck Mini Dress,$48.00,https://images.topshop.com/i/TopShop/TS10A08QBLK_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/neon-lime-snake-mesh-sarong-8547053,Neon Lime Snake Mesh Sarong,$50.00,https://images.topshop.com/i/TopShop/TS03A01QLME_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/cropped-top-by-calvin-klein-8578586,Cropped Top by Calvin Klein,$115.00,https://images.topshop.com/i/TopShop/TS03X18QBLK_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/ck-colourblock-jacke-8536922,Colour Block Jacket by Calvin Klein,$230.00,https://images.topshop.com/i/TopShop/TS12C23QPNK_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/tie-dye-crinkle-mini-8566312,Tie Dye Crinkle Mini Dress,$38.00,https://images.topshop.com/i/TopShop/TS10J50QMVE_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/smlinen-shirt-dress-8566313,Shirt Dress with Linen,$85.00,https://images.topshop.com/i/TopShop/TS10T28QIVR_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/rust-essential-peg-trousers-8580973,**Rust Essential Peg Trousers,$150.00,https://images.topshop.com/i/TopShop/TS25S23QRST_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/calvin-klien-tie-back-bikini-8543428,Black Tie Back Bikini Top by Calvin Klein,$90.00,https://images.topshop.com/i/TopShop/TS03X01QBLK_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/tie-dye-pleated-skirt-by-bouti-8540545,**Tie Dye Pleated Skirt By Boutique,$160.00,https://images.topshop.com/i/TopShop/TS25T17PMUL_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/rainbow-stripe-bralet-7866821,Rainbow Stripe Bralet,$30.00,https://images.topshop.com/i/TopShop/TS04K11PMUL_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/casual-tie-waist-wide-leg-8474170,Casual Tie Waist Wide Leg Trousers,$55.00,https://images.topshop.com/i/TopShop/TS16M05QKHA_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/tallbuckle-wrap-blouse-8528081,TALL Buckle Wrap Blouse,$55.00,https://images.topshop.com/i/TopShop/TS30B19QIVR_F_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/bleach-jagged-hem-jamie-jeans-8580081,Bleach Jagged Hem Jamie Jeans,$75.00,https://images.topshop.com/i/TopShop/TS02K21QBLC_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/ecollrlss-wrap-top-8564261,**Collarless Wrap Top by Boutique,$160.00,https://images.topshop.com/i/TopShop/TS25T17QIVR_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/echeck-wrp-shrt-drs-8564259,**Check Wrap Shirt Dress by Boutique,$210.00,https://images.topshop.com/i/TopShop/TS25R08QBLK_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/mid-blue-double-knee-ripped-mom-jeans-8582713,Mid Blue Double Knee Ripped Mom Jeans,$75.00,https://images.topshop.com/i/TopShop/TS02M39QMDT_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/cherry-pink-chunky-trainers-8574069,CHERRY Pink Chunky Trainers,$65.00,https://images.topshop.com/i/TopShop/TS42C10QBLS_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/ctjsplit-midi-skirt-8488396,Split Midi Skirt,$55.00,https://images.topshop.com/i/TopShop/TS23D08QGRY_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/leather-bomber-8564173,**Leather Bomber Jacket by Boutique,$475.00,https://images.topshop.com/i/TopShop/TS25L10QOFF_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/gold-glitter-camisole-crop-top-8572230,Gold Glitter Camisole Crop Top,$38.00,https://images.topshop.com/i/TopShop/TS03L30QGLD_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/ctbrib-hneck-tank-8488397,Ribbed High Neck Tank,$40.00,https://images.topshop.com/i/TopShop/TS23D09QGRY_M_1.jpg?$Large$,TopShop
