link,product_name,price,image_link,brand,desc
http://us.topshop.com/en/tsus/product/clothing-70483/tie-side-bikini-bottom-by-calvin-klein-8577346,Red Tie Side Bikini Bottoms by Calvin Klein,60.00,https://images.topshop.com/i/TopShop/TS03X03QRED_M_1.jpg?$Large$,TopShop,"Red swimwear will always be a great idea, especially these Calvin Klein tie side red bikini bottoms 82% Polyamide, 18% Elastane. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/tall-belt-peg-8553244,TALL Belt Peg Trousers,68.00,https://images.topshop.com/i/TopShop/TS30T12PSTN_M_1.jpg?$Large$,TopShop,"These belted peg trousers are beyond classic in style. We love how versatile they are, with endless outfit combinations. 100% Polyester. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/poplin-wrap-8566882,White Poplin Wrap Blouse,48.00,https://images.topshop.com/i/TopShop/TS13O11QWHT_M_1.jpg?$Large$,TopShop,"This white poplin wrap blouse will elevate any outfit in a smart and timeless way. The wrap is our favourite latest shape, it creates a dynamic twist that plays with proportions with fashionable style. 100% Cotton. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/pmemb-panel-stn-slp-8519307,Yellow Embroidered Panel Satin Slip Dress,140.00,https://images.topshop.com/i/TopShop/TS10U30QYLW_M_1.jpg?$Large$,TopShop,"If you are fan of our satin skirt, then you will love our yellow satin slip midi dress. Designed with embellished panel detailing, this pretty number works wonders for spring summer. 52% Viscose, 48% Polyester. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/carrot-joggers-by-boutique-8580994,**Carrot Joggers by Boutique,130.00,https://images.topshop.com/i/TopShop/TS25S25QBLK_M_1.jpg?$Large$,TopShop,"These carrot shaped joggers designed in classic black are super modern and cool. Made In UK by Boutique, these go with an array of outfit combinations. 100% Viscose. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/red-lace-bandeau-8582820,Red Lace Bandeau,18.00,https://images.topshop.com/i/TopShop/TS09E02QRED_M_1.jpg?$Large$,TopShop,This all over red lace jersey bandeau is perfect to add instant style. Add your favourite high waisted jeans to complete the look. 100% Cotton. Machine wash.
http://us.topshop.com/en/tsus/product/clothing-70483/satin-super-split-dress-by-8278062,Khaki Satin Super Split Dress by We Own The Night,80.00,https://images.topshop.com/i/TopShop/TS12K01QKHA_M_1.jpg?$Large$,TopShop,"Look beyond gorgeous with this cool khaki super split satin dress by We Own The Night. 55% Viscose, 45% Polyester. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/calvin-klein-tri-tie-back-8543429,Blue Triangle Tie Back Bikini Top by Calvin Klein,68.00,https://images.topshop.com/i/TopShop/TS03X01QDEN_M_1.jpg?$Large$,TopShop,"Dive into the blue waters with this bold blue Calvin Klein triangle tie back bikini top. 86% Polyester, 14% Elastane. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/zip-racer-crop-top-8582577,Zip Racer Crop Top,20.00,https://images.topshop.com/i/TopShop/TS09J01QGYM_M_1.jpg?$Large$,TopShop,"This cropped racer style top with zip up neck will add a sporty impact to your everyday look. Pair with some straight leg jeans for a cool interpretation. 92% Cotton, 5% Lycra/Elastane, 3% Polyester. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/latux-dress-8543363,Black Tuxedo Dress,100.00,https://images.topshop.com/i/TopShop/TS10U10QBLK_M_1.jpg?$Large$,TopShop,"Behold the blakc tuxedo style dress. A fusion of a mini and a blazer, this tux is unlike your usual 9-5 piece. We love the smart and sophisticated it brings to any outfit. 93% Polyester, 7% Elastane. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/calvin-klein-tie-tri-bikini-8543482,Black Triangle Tie Back Bikini Top by Calvin Klein,68.00,https://images.topshop.com/i/TopShop/TS03X02QBLK_M_1.jpg?$Large$,TopShop,"Go classic with your swimming staples like this Calvin Klein black tie back triangle bikini top. 86% Polyester, 14% Elastane. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/fliss-wrap-sandal-8519128,FLISS Wrap Sandals,68.00,https://images.topshop.com/i/TopShop/TS32F07QMUL_M_1.jpg?$Large$,TopShop,"Modern footwear is the way forward, embrace a summer ready style with these platform sandals with wrap detail. Upper: Polyurethane. Specialist clean only."
http://us.topshop.com/en/tsus/product/clothing-70483/celina-chunky-trainer-8527632,CELINA Leopard Chunky Trainers,70.00,https://images.topshop.com/i/TopShop/TS42C09QTRL_M_1.jpg?$Large$,TopShop,Get involved in the revival of chunky trainers. These are our latest streetwear inspired styles which showcase exaggerated platforms with a cool leopard print detailing. These are a key coveted footwear choice that will elevate any outfit. Upper: Polyurethane. Specialist clean only.
http://us.topshop.com/en/tsus/product/clothing-70483/halter-midi-dress-8560570,Halter Neck Midi Dress,45.00,https://images.topshop.com/i/TopShop/TS10J56QSTN_M_1.jpg?$Large$,TopShop,"This halter neck jersey midi dress is designed in a bold shade and works for spring summer seasons. Elevate with some strappy heels, simple yet stylish. 100% Polyester. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/black-lace-bandeau-8582821,Black Lace Bandeau,18.00,https://images.topshop.com/i/TopShop/TS09E02QBLK_M_1.jpg?$Large$,TopShop,This all over black lace jersey bandeau is perfect to add instant style. Add your favourite high waisted jeans to complete the look. 100% Cotton. Machine wash.
http://us.topshop.com/en/tsus/product/clothing-70483/lace-trim-cami-8522100,Pink Lace Trim Cami,20.00,https://images.topshop.com/i/TopShop/TS09T02QPNK_M_1.jpg?$Large$,TopShop,"This strappy camisole with delicate lace detailing at neck line is a must-have this spring summer. Tuck into a flowy skirt or some straight leg jeans for endless style. 95% Cotton, 5% Lycra/Elastane. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/white-cuffed-utility-trousers-8580487,White Cuffed Utility Trousers,75.00,https://images.topshop.com/i/TopShop/TS16K07QWHT_M_1.jpg?$Large$,TopShop,"These cuffed cargo trousers are a cool nod to the utility trend. Designed in crisp white, we are embracing the shade head to toe.100% Cotton. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/cuffed-camo-utility-trouser-8567725,Cuffed Camo Utility Trousers,80.00,https://images.topshop.com/i/TopShop/TS16K11QLME_M_1.jpg?$Large$,TopShop,"These cuffed neon all over camouflage cargo trousers add an urban twist to any daytime look. You'll be sure to look cool, especially paired with a denim cropped jacket. 100% Cotton. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/tall-dark-mid-blue-dree-jeans-8579170,TALL Dark Mid Blue Dree Jeans,75.00,https://images.topshop.com/i/TopShop/TS30A32NDST_M_1.jpg?$Large$,TopShop,"These kick flare jeans are designed in a dark mid blue shade. Dree is one of our favourite denim styles that looks great season after season. 98% Cotton, 2% Elastane. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/indigo-tie-dye-mom-jeans-8548462,Indigo Tie Dye Mom Jeans,80.00,https://images.topshop.com/i/TopShop/TS02M08QIND_M_1.jpg?$Large$,TopShop,"This spring summer we are embracing the runway inspired tie dye trend. These high rise, tapered leg Mom jeans in authentic rigid denim with rolled hems and tie dye wash provide the perfect dose of cool to your look. 100% Cotton. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/slinky-halter-mini-8530596,Slinky Halter Neck Mini Dress,48.00,https://images.topshop.com/i/TopShop/TS10A08QBLK_M_1.jpg?$Large$,TopShop,"This slinky unlined halter neck mini dress with hardware detailing will add some evening edge to your look. Designed in classic black, you'll look both modern and classic. 100% Polyester. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/neon-lime-snake-mesh-sarong-8547053,Neon Lime Snake Mesh Sarong,50.00,https://images.topshop.com/i/TopShop/TS03A01QLME_M_1.jpg?$Large$,TopShop,"Embrace a super unique and statement summer look with this bold neon lime snake mesh sarong. 94% Polyester, 6% Elastane. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/cropped-top-by-calvin-klein-8578586,Cropped Top by Calvin Klein,115.00,https://images.topshop.com/i/TopShop/TS03X18QBLK_M_1.jpg?$Large$,TopShop,"We have added this Calvin Klein cropped black top to our summer wishlist. 80% Polyamide,20% Elastane. Machine washable."
http://us.topshop.com/en/tsus/product/clothing-70483/ck-colourblock-jacke-8536922,Colour Block Jacket by Calvin Klein,230.00,https://images.topshop.com/i/TopShop/TS12C23QPNK_M_1.jpg?$Large$,TopShop,Layer up your look with this cool and casual Calvin Klein colour block jacket. 100% Polyamide. Machine wash.
http://us.topshop.com/en/tsus/product/clothing-70483/tie-dye-crinkle-mini-8566312,Tie Dye Crinkle Mini Dress,38.00,https://images.topshop.com/i/TopShop/TS10J50QMVE_M_1.jpg?$Large$,TopShop,"This crinkle mini dress with tie straps is designed in one of the key season's trends, tie dye. We love accessorizing the look with a summer bag for extra style points. 99% Polyester, 1% Elastane. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/smlinen-shirt-dress-8566313,Shirt Dress with Linen,85.00,https://images.topshop.com/i/TopShop/TS10T28QIVR_M_1.jpg?$Large$,TopShop,"Look like a summertime dream with this relaxed fit midi shirt dress. This unlined beauty has a touch of linen, making it truly wonderful this time of year. This looks great for daytime dressing from picnics to evening soirees. 77% Viscose, 23% Linen. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/rust-essential-peg-trousers-8580973,**Rust Essential Peg Trousers,150.00,https://images.topshop.com/i/TopShop/TS25S23QRST_M_1.jpg?$Large$,TopShop,"These essential peg trousers in rust look the part for the season. We love how super flattering they look and feel and work with everything! 80% Viscose, 20% Linen. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/calvin-klien-tie-back-bikini-8543428,Black Tie Back Bikini Top by Calvin Klein,90.00,https://images.topshop.com/i/TopShop/TS03X01QBLK_M_1.jpg?$Large$,TopShop,"Go classic with your swimwear style with this Calvin Klein tie back bikini top. 86% Polyamide, 14% Elastane. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/tie-dye-pleated-skirt-by-bouti-8540545,**Tie Dye Pleated Skirt By Boutique,160.00,https://images.topshop.com/i/TopShop/TS25T17PMUL_M_1.jpg?$Large$,TopShop,Tie dye is the design of the spring summer season. Nail the trend with this pleated and colourful skirt with asymmetric shape. Made in UK by Boutique. 100% Polyester. Machine wash.
http://us.topshop.com/en/tsus/product/clothing-70483/rainbow-stripe-bralet-7866821,Rainbow Stripe Bralet,30.00,https://images.topshop.com/i/TopShop/TS04K11PMUL_M_1.jpg?$Large$,TopShop,"Channel a vivid look with this multicoloured all over stripe square neck bralet with metallic thread and a chunky gold centre back zip. Pair with your favourite jeans for effortless style. 60% Viscose,25% Polyester,13% Metallised fibre,2% Elastane. Machine washable."
http://us.topshop.com/en/tsus/product/clothing-70483/casual-tie-waist-wide-leg-8474170,Casual Tie Waist Wide Leg Trousers,55.00,https://images.topshop.com/i/TopShop/TS16M05QKHA_M_1.jpg?$Large$,TopShop,It's all about creating a relaxed silhouette this summer. Channel the look with these high waisted paper bag trousers with a crop wide leg shape featuring a belt at waist. 100% Cotton. Machine wash.
http://us.topshop.com/en/tsus/product/clothing-70483/tallbuckle-wrap-blouse-8528081,TALL Buckle Wrap Blouse,55.00,https://images.topshop.com/i/TopShop/TS30B19QIVR_F_1.jpg?$Large$,TopShop,This buckle wrap blouse in a champagne ivory hue adds a smart appearance to your look. Pair some jeans to balance out the smart casual theme. 100% Polyester. Machine wash.
http://us.topshop.com/en/tsus/product/clothing-70483/bleach-jagged-hem-jamie-jeans-8580081,Bleach Jagged Hem Jamie Jeans,75.00,https://images.topshop.com/i/TopShop/TS02K21QBLC_M_1.jpg?$Large$,TopShop,"These high rise, ankle grazing skinny jeans in bleach power stretch denim with jagged hem detail do denim the modern way. We're styling a classic denim look with a white t-shirt and some comfy flat footwear. 91% Cotton, 6% Polyester, 3% Elastane. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/ecollrlss-wrap-top-8564261,**Collarless Wrap Top by Boutique,160.00,https://images.topshop.com/i/TopShop/TS25T17QIVR_M_1.jpg?$Large$,TopShop,"Look effortlessly smart in this collarless wrap top. This ivory number by Boutique looks great with anything from jeans, smart trousers to skirts and anything in-between. 100% Viscose. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/echeck-wrp-shrt-drs-8564259,**Check Wrap Shirt Dress by Boutique,210.00,https://images.topshop.com/i/TopShop/TS25R08QBLK_M_1.jpg?$Large$,TopShop,"This all over check wrap shirt dress is the shape of the season. Brought to you by Boutique, this piece looks both smart and sophisticated. 54% Acetate, 46% Viscose. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/mid-blue-double-knee-ripped-mom-jeans-8582713,Mid Blue Double Knee Ripped Mom Jeans,75.00,https://images.topshop.com/i/TopShop/TS02M39QMDT_M_1.jpg?$Large$,TopShop,"Think modern with you choice of denim with these high rise, tapered Mom jeans in authentic mid blue denim. We love the added edge they bring, designed with double knee rip and rolled hems. 100% Cotton. Machine wash."
