prod_page_link,image_link,name,price,description,brand
https://www2.hm.com/en_us/productpage.0583533002.html,"http://lp2.hm.com/hmgoepprod?set=source[/8d/fb/8dfb3735514d5b280a8549843329c9c4c80156fe.jpg],origin[dam],category[ladies_dresses_shortdresses],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/main] ",Fitted Shirt Dress,49.99,"Short, fitted dress in stretch denim with a collar. Metal snap fasteners at front, chest pockets, and long sleeves with snap fasteners at cuffs. Unlined.",H&M
https://www2.hm.com/en_us/productpage.0714918001.html,"http://lp2.hm.com/hmgoepprod?set=source[/c6/23/c6238980fa186160c11339dcc0b12191473d4739.jpg],origin[dam],category[ladies_dresses_mididresses],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Mesh dress with embroidery,59.99,"Calf-length dress in spotted mesh with embroidery. V-neck, 3/4-length sleeves with flounced cuffs, an elasticated, gathered seam at the waist and a gently flared skirt. Raw edges at the cuffs and hem. Jersey lining.",H&M
https://www2.hm.com/en_us/productpage.0637566002.html,"http://lp2.hm.com/hmgoepprod?set=source[/cf/47/cf47798b91cd8684d8657cafcc9769ce7c9712ac.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/main] ",Dress with Tie Belt,34.99,"V-neck, knee-length dress in airy chiffon with details on shoulders. Cap sleeves, buttons at front, and elastication at back of waist. Attached tie belt. Satin lining.",H&M
https://www2.hm.com/en_us/productpage.0765123001.html,"http://lp2.hm.com/hmgoepprod?set=source[/39/40/3940fed5e2a52056065ef7d8669bedca259e0b4e.jpg],origin[dam],category[ladies_dresses_shortdresses],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Chiffon Wrap Dress,59.99,"Short, V-neck dress in airy, crinkled chiffon. Wrapover front, long puff sleeves, and cuffs with button and pleated flounce. Seam at waist, tie belt, and gently flared, pleated skirt. Partly lined.",H&M
https://www2.hm.com/en_us/productpage.0696134003.html,"http://lp2.hm.com/hmgoepprod?set=source[/fb/2d/fb2dc4e41f0b37017787e68046953bb2a853cdf0.jpg],origin[dam],category[ladies_dresses_shortdresses],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Crêped Dress,19.99,"Short dress in woven, crêped fabric with a round neckline and V-shaped opening at front. Small opening at back of neck with concealed zip and hook-and-eye fastener. Long, wide balloon sleeves with buttons at cuffs. Unlined.",H&M
https://www2.hm.com/en_us/productpage.0698971001.html,"http://lp2.hm.com/hmgoepprod?set=source[/f7/cd/f7cd86f4dcc1f44b78ee452306f9fb934d01021e.jpg],origin[dam],category[ladies_dresses_shortdresses],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Lace V-neck Dress,59.99,"Short dress in lace with a V-neck at front and back. Cap sleeves, seam at waist, and flared skirt. Jersey lining.",H&M
https://www2.hm.com/en_us/productpage.0738401001.html,"http://lp2.hm.com/hmgoepprod?set=source[/ba/2f/ba2fceb3f02dcebe607bdd5c69df84ae42fe9e00.jpg],origin[dam],category[ladies_dresses_mididresses],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Snakeskin-patterned Dress,119.0,"Calf-length dress in airy, woven fabric with a snakeskin pattern. Draped front with decorative wrapover detail at top. Long, wide sleeves with asymmetric cuffs. Draping at back with attached wrapover section. Seam at waist and lined, draped skirt with slit at front. Concealed side zip.",H&M
https://www2.hm.com/en_us/productpage.0713783001.html,"http://lp2.hm.com/hmgoepprod?set=source[/b8/30/b83062082c77d0986062d31e6ff551f5fb8580c4.jpg],origin[dam],category[ladies_dresses_shortdresses],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Off-the-shoulder Dress,17.99,"Short, off-the-shoulder dress in ribbed jersey with a V-neck at front and back. Long sleeves, seam at waist, and flared skirt.",H&M
https://www2.hm.com/en_us/productpage.0730153002.html,"http://lp2.hm.com/hmgoepprod?set=source[/06/51/0651ee26e5ae2c35a2eacc885c2372ffc4cdde11.jpg],origin[dam],category[ladies_dresses_shortdresses],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Dress with Lace,49.99,"Short dress in airy, woven fabric. Pin-tucks at top, opening at back of neck with button, gathered seam at waist, and gently flared skirt. Lace sections at cuffs and hem. Jersey liner dress.",H&M
https://www2.hm.com/en_us/productpage.0712450001.html,"http://lp2.hm.com/hmgoepprod?set=source[/2c/d5/2cd52c084b645c2e91aada982f468cf9eee5ee8d.jpg],origin[dam],category[ladies_dresses_shortdresses],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",V-neck Dress,34.99,"Short, fitted jersey dress with a low-cut V-neck and a seam at waist. Jersey lining.",H&M
https://www2.hm.com/en_us/productpage.0675864002.html,"http://lp2.hm.com/hmgoepprod?set=source[/85/62/856262e0c866c1c06708fdfd0d443655c9a19910.jpg],origin[dam],category[ladies_dresses_mididresses],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/main] ",Fine-knit Dress,24.99,"Straight-cut, calf-length dress in a soft, fine knit with a low-cut V-neck at back. Gently dropped shoulders and short sleeves.",H&M
https://www2.hm.com/en_us/productpage.0577512008.html,"http://lp2.hm.com/hmgoepprod?set=source[/20/e6/20e68fba69dc0b82436fb97ee3cbd343c585b75a.jpg],origin[dam],category[ladies_dresses_shortdresses],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Short Dress,34.99,"Short, fitted dress in woven fabric. Cap sleeves, concealed zip at back with safety button at top, and seam at waist. Slightly stretchy skirt with slit at back. Lined.",H&M
https://www2.hm.com/en_us/productpage.0741116003.html,"http://lp2.hm.com/hmgoepprod?set=source[/e6/26/e6262170e94954899771cf015da6be48d560a807.jpg],origin[dam],category[ladies_dresses_mididresses],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Viscose Dress,54.99,"Calf-length dress in soft viscose fabric with a sheen. Narrow, adjustable shoulder straps and high slits at sides. Unlined.",H&M
https://www2.hm.com/en_us/productpage.0719258001.html,"http://lp2.hm.com/hmgoepprod?set=source[/86/ae/86aef745b9d907dd936a045e5c15a158eb4a26de.jpg],origin[dam],category[ladies_dresses_maxidresses],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",V-neck Maxi Dress,49.99,"Maxi dress in airy woven fabric with a printed pattern. V-neck at front and back, long balloon sleeves with elasticized cuffs, and an elasticized seam at waist. Partly lined.",H&M
https://www2.hm.com/en_us/productpage.0761680001.html,"http://lp2.hm.com/hmgoepprod?set=source[/f4/7d/f47dbfccb099f7cf8470309dd7e0dee54c503be6.jpg],origin[dam],category[ladies_dresses_shortdresses],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Patterned Dress,17.99,"Short, sleeveless dress in woven fabric. Smocking at back, concealed side zip, and seam at waist. Flared skirt. Unlined.",H&M
https://www2.hm.com/en_us/productpage.0663579001.html,"http://lp2.hm.com/hmgoepprod?set=source[/9a/cc/9acc82c42bc8bf0010d73c14c62e2091549df59d.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/main] ",Open-shoulder Dress,34.99,"Short, fitted, open-shoulder dress in crêped jersey. Narrow, adjustable shoulder straps, layered upper section with short sleeves, and seam at waist.",H&M
https://www2.hm.com/en_us/productpage.0708678001.html,"http://lp2.hm.com/hmgoepprod?set=source[/5e/ef/5eef17973a8e74f4b3dae52d7aebf7fe7bfe88a9.jpg],origin[dam],category[ladies_dresses_shortdresses],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Hooded Sweatshirt Dress,29.99,"Short dress in sweatshirt fabric with a printed motif at front. Lined, drawstring hood, dropped shoulders, and long sleeves with ribbed cuffs. Slits at sides of hem. Soft, brushed inside.",H&M
https://www2.hm.com/en_us/productpage.0736983001.html,"http://lp2.hm.com/hmgoepprod?set=source[/71/31/7131be292a868f15215abde799c23419a8e4e100.jpg],origin[dam],category[ladies_dresses_maxidresses],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",V-neck Maxi Dress,34.99,"Long dress in woven fabric with a V-neck. Attached wrapover at front, narrow, adjustable shoulder straps, and seam below bust. Concealed zip at back. Unlined.",H&M
https://www2.hm.com/en_us/productpage.0693612003.html,"http://lp2.hm.com/hmgoepprod?set=source[/af/38/af385f1353e43052b40302a32213acf5e9b8c1cf.jpg],origin[dam],category[ladies_dresses_mididresses],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Calf-length Dress,29.99,"Sleeveless, calf-length dress in airy woven fabric. Narrow cut at top with short, narrow shoulder straps. Narrow, elasticized seam at waist with a removable tie belt. Lined.",H&M
https://www2.hm.com/en_us/productpage.0744042002.html,"http://lp2.hm.com/hmgoepprod?set=source[/c7/d4/c7d45b8ff859efdea1dc954a9a911a9547bb1ed3.jpg],origin[dam],category[ladies_dresses_maxidresses],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Pleated Maxi Dress,99.0,"Long dress with a round neckline, opening at back of neck with concealed button, and cap sleeves. Double layers at top with outer layer in lace. Lined chiffon skirt with pleats.",H&M
